n,k,t,duration
120,1,1,0.000148
120,1,2,9.9e-05
120,1,3,0.00012
120,1,4,9.2e-05
60,2,1,0.000106
60,2,2,0.000261
60,2,3,0.000202
60,2,4,0.000177
40,3,1,0.000102
40,3,2,0.000306
40,3,3,0.000633
40,3,4,0.000489
30,4,1,0.000117
30,4,2,0.000229
30,4,3,0.000317
30,4,4,0.000403
24,5,1,0.000106
24,5,2,0.000198
24,5,3,0.000285
24,5,4,0.000315
20,6,1,0.00012
20,6,2,0.000162
20,6,3,0.000638
20,6,4,0.000458
15,8,1,0.000147
15,8,2,0.000314
15,8,3,0.000249
15,8,4,0.000334
12,10,1,8.7e-05
12,10,2,0.000151
12,10,3,0.000246
12,10,4,0.00028
10,12,1,0.000109
10,12,2,0.000163
10,12,3,0.000244
10,12,4,0.000319
8,15,1,0.000132
8,15,2,0.00058
8,15,3,0.000515
8,15,4,0.000486
6,20,1,0.000145
6,20,2,0.000186
6,20,3,0.000368
6,20,4,0.000311
5,24,1,0.000125
5,24,2,0.000212
5,24,3,0.000238
5,24,4,0.000329
4,30,1,0.000113
4,30,2,0.000249
4,30,3,0.000283
4,30,4,0.000376
3,40,1,0.000153
3,40,2,0.000295
3,40,3,0.000413
3,40,4,0.000352
2,60,1,0.000105
2,60,2,0.000204
2,60,3,0.000299
2,60,4,0.000289
